Table 1
Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
TOTAL;5158;11143;8786;9608;6393;6157;6284;6837;6985;6766;7998;9917;8878;8405;10649;11688;13009;16639;19103;17342;17585;19834;22800;23495;23182;20967;26872;23190;22618;23924;23058;27879;42276
Finland;20;37;28;25;25;29;32;41;47;72;125;108;101;115;112;159;234;188;259;244;228;288;250;350;306;317;342;385;368;465;507;469;507
FOREIGN COUNTRIES, TOTAL;5138;11106;8758;9583;6368;6128;6252;6796;6938;6694;7873;9809;8777;8290;10537;11529;12775;16451;18844;17098;17357;19546;22550;23145;22876;20650;26530;22805;22250;23459;22551;27410;41769
EUROPE;2899;6911;5905;6551;4024;4140;4097;4000;4327;4438;5264;6247;5254;4903;6111;6656;7628;9558;10694;8998;9439;11344;13749;13500;12429;10386;10225;9043;9658;10690;11195;14108;18275
Netherlands;41;28;18;25;31;53;50;51;44;57;79;73;68;78;100;111;97;112;123;71;82;78;90;73;109;109;102;101;111;128;149;190;175
Albania;0;1;13;20;4;8;2;7;4;13;9;12;8;15;24;17;15;13;31;14;9;20;37;59;54;74;76;90;100;119;177;186;337
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;12;8;5;8;17;11;10;15;12;17;14;19;23;30;22;26;44;38;42;32;24;42;37;38;34;56;42;41;33;64;65;77;60
Bosnia and Herzegovina;0;0;172;160;141;434;419;65;46;57;40;44;48;40;70;50;73;122;146;71;42;27;54;63;84;88;50;71;50;52;27;25;53
Bulgaria;63;91;51;35;7;12;14;27;18;21;21;34;40;26;46;39;38;134;164;127;129;194;269;272;251;227;182;199;269;182;224;235;313
Former Yugoslavia;13;97;93;1674;110;94;98;5;10;55;4;16;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Former Soviet Union;1526;4521;118;141;53;45;13;10;24;16;10;15;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Former Serbia and Montenegro;0;0;0;0;0;0;49;47;124;339;298;612;195;148;218;183;169;23;7;4;4;0;1;8;4;0;0;298;1;471;482;763;1161
Spain;37;37;23;35;26;37;41;47;42;46;81;89;75;104;85;126;132;221;205;123;141;180;256;388;442;281;269;242;308;287;322;386;443
Ireland;11;13;9;12;16;10;10;12;16;25;36;33;41;46;32;44;33;29;56;38;31;48;45;46;40;60;45;44;47;43;69;77;85
Iceland;16;34;20;11;27;14;13;15;27;22;33;22;12;23;11;13;22;18;19;27;14;10;10;11;18;16;21;19;16;14;12;18;24
Italy;32;49;26;25;37;57;67;55;73;70;91;96;89;107;130;143;153;172;198;143;154;160;216;199;307;305;270;264;282;263;339;426;388
Austria;12;8;6;5;2;8;6;15;12;26;13;24;24;38;26;24;37;54;39;30;33;29;39;24;32;28;54;40;38;46;33;56;45
Jersey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;36;40;22;15;31;29;27;26;27;28;30;41;19;37;36;30;36;36;51;35;50;84;117;123;140;119;260;231;178;150;138;164;174
Croatia;0;2;10;3;3;6;6;10;4;18;102;58;6;9;15;11;11;13;16;16;15;19;18;32;54;58;34;45;53;50;47;41;47
Cyprus;4;6;2;6;2;3;4;3;7;1;1;1;6;3;5;1;1;9;3;2;7;7;3;12;8;12;5;7;8;12;9;14;16
Latvia;0;7;22;31;26;10;23;27;31;36;33;62;38;46;75;86;57;89;91;129;186;217;178;197;243;201;195;265;363;319;405;604;693
Liechtenstein;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;1;0
Lithuania;0;6;7;9;15;12;39;34;18;18;20;39;59;33;77;73;84;81;93;66;143;119;175;164;154;159;130;180;190;163;161;216;188
Luxembourg;1;0;0;1;0;2;2;0;0;0;1;1;1;2;1;2;1;1;1;0;1;2;1;0;0;2;2;0;2;1;3;2;7
Malta;1;1;0;1;0;2;1;0;1;1;1;2;0;0;2;3;1;2;5;0;0;1;3;1;6;2;0;2;5;3;3;8;17
Isle of Man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moldova;0;0;7;3;1;1;15;1;2;5;15;8;6;8;13;9;11;17;18;10;12;9;11;13;17;13;14;33;34;72;79;81;118
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;2;1;0;2;0;0;2;14;2;2;1;3;6;5
Norway;90;55;51;31;34;46;47;33;46;55;69;58;52;51;61;68;82;75;47;65;63;57;49;63;48;73;65;83;77;75;80;89;99
North Macedonia;0;0;0;0;6;3;8;8;18;10;7;12;7;10;15;12;9;14;37;20;14;21;15;33;19;14;20;17;23;18;25;23;44
Portugal;11;13;6;9;11;7;9;4;10;4;13;13;20;33;28;26;45;40;56;40;41;42;82;70;108;63;64;72;73;104;118;101;158
Poland;185;169;64;40;35;23;27;23;28;38;39;60;56;69;118;122;221;441;561;321;249;324;538;503;508;393;432;354;378;332;300;451;437
France;39;63;52;52;38;59;73;88;96;102;140;135;114;129;116;205;199;231;220;168;174;174;185;197;257;226;254;236;286;284;338;424;329
Romania;54;98;80;51;30;18;12;31;40;49;123;91;35;47;67;64;111;211;196;162;206;258;301;257;400;354;439;413;534;603;496;654;662
Sweden;10;9;23;10;6;13;10;15;4;12;22;17;9;20;21;26;24;21;62;109;45;46;46;81;41;62;34;66;86;104;98;82;187
Germany;128;104;104;89;90;157;135;128;167;168;186;234;223;222;293;298;342;483;437;341;292;303;296;294;292;296;311;277;374;367;476;535;534
San Marino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
